SGG_NM,CNTRCT_DE,RENT_GTN
용산구,2022-09-29,58093.33333
용산구,2022-09-30,53796.66667
용산구,2022-10-01,43500.55556
용산구,2022-10-03,53233.33333
용산구,2022-10-04,69514.28571
용산구,2022-10-05,48387.5
용산구,2022-10-06,69170
용산구,2022-10-07,92985.71429
용산구,2022-10-08,57534.16667
용산구,2022-10-09,65000
용산구,2022-10-10,53450
용산구,2022-10-11,83600
용산구,2022-10-12,72011
용산구,2022-10-13,63308.33333
용산구,2022-10-14,85983.21429
용산구,2022-10-15,71813.15789
용산구,2022-10-16,118500
용산구,2022-10-17,87411.11111
용산구,2022-10-18,77884.77778
용산구,2022-10-19,84450
용산구,2022-10-20,58608.33333
용산구,2022-10-21,62708.33333
용산구,2022-10-22,60346.38889
용산구,2022-10-23,74125
용산구,2022-10-24,56981.66667
용산구,2022-10-25,46514.28571
용산구,2022-10-26,49233.33333
용산구,2022-10-27,75366.66667
용산구,2022-10-28,64755.38462
용산구,2022-10-29,46969.28571
용산구,2022-10-30,37300
용산구,2022-10-31,75742.85714
용산구,2022-11-01,29000
용산구,2022-11-02,30578.6
용산구,2022-11-03,85266.66667
용산구,2022-11-04,90923.33333
용산구,2022-11-05,48995
용산구,2022-11-06,28666.66667
용산구,2022-11-07,51025
용산구,2022-11-08,42727.77778
용산구,2022-11-09,73721.42857
용산구,2022-11-10,48267.5
용산구,2022-11-11,89330.55556
용산구,2022-11-12,95180
용산구,2022-11-13,69250
용산구,2022-11-14,67918.18182
용산구,2022-11-15,48650
용산구,2022-11-16,83500
용산구,2022-11-17,56462.5
용산구,2022-11-18,74083.33333
용산구,2022-11-19,47720.66667
용산구,2022-11-20,117766.6667
용산구,2022-11-21,50242.5
용산구,2022-11-22,38570.2
용산구,2022-11-23,61115.38462
용산구,2022-11-24,62980
용산구,2022-11-25,45580
용산구,2022-11-26,98738
용산구,2022-11-27,38754.28571
용산구,2022-11-28,45850
용산구,2022-11-29,57375
용산구,2022-11-30,46785.71429
용산구,2022-12-01,90964.375
